City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
196,Anadyr,RU,64.75,177.4833,1.9,84,20,6.71,few clouds
197,Umm Lajj,SA,25.0213,37.2685,77.68,29,52,6.31,broken clouds
198,Salinopolis,BR,-0.6136,-47.3561,77.88,85,90,9.75,overcast clouds
199,Kerema,PG,-7.9631,145.7785,78.8,85,100,4.85,overcast clouds
200,Odweyne,SO,9.4092,45.064,82.74,33,64,3.33,broken clouds
201,Santarem,BR,-2.4431,-54.7083,75.33,100,75,2.3,broken clouds
202,Hit,IQ,33.6416,42.8251,62.56,40,0,5.91,clear sky
203,Kahului,US,20.8947,-156.47,74.84,86,75,5.75,broken clouds
204,Mount Isa,AU,-20.7333,139.5,96.57,11,0,17.27,clear sky
205,Feni,BD,23.0186,91.41,77.31,40,21,5.86,few clouds
206,Usinsk,RU,65.9939,57.5281,-0.06,96,100,18.97,light snow
207,Tashtagol,RU,52.7657,87.8894,16.25,97,98,1.12,overcast clouds
208,Severo-Kurilsk,RU,50.6789,156.125,27.52,68,77,3.98,broken clouds
209,Obo,CF,5.3998,26.4869,93.43,16,83,6.62,broken clouds
210,Vertientes,CU,21.2594,-78.1464,68.61,93,0,4.65,clear sky
211,Pacific Grove,US,36.6177,-121.9166,56.28,94,90,1.01,fog
212,Poya,NC,-21.35,165.15,79.23,88,100,5.21,overcast clouds
213,Grand Gaube,MU,-20.0064,57.6608,86.4,67,41,8.01,scattered clouds
214,Staryy Nadym,RU,65.6118,72.6842,-31.05,92,11,6.31,few clouds
215,Whitehorse,CA,60.7161,-135.0538,-44.63,66,90,0.0,fog
216,Soe,ID,-9.8607,124.284,67.64,95,100,2.39,heavy intensity rain
217,Nizhniy Chir,RU,48.3597,43.0865,39.2,95,100,11.61,overcast clouds
218,Saint George,US,37.1041,-113.5841,42.33,75,1,4.61,clear sky
219,Mahanje,TZ,-9.9333,35.3333,89.51,38,96,3.33,light rain
220,Abonnema,NG,4.7084,6.7931,91.04,43,63,2.55,broken clouds
221,Bemidji,US,47.4736,-94.8803,-9.85,79,1,8.05,clear sky
222,Xuddur,SO,4.1213,43.8894,92.21,27,44,17.6,scattered clouds
223,Adrar,MR,20.5022,-10.0711,64.09,21,72,9.31,broken clouds
224,Ternate,ID,0.8,127.4,80.71,82,93,10.13,overcast clouds
225,Bonavista,CA,48.6499,-53.1147,42.12,80,99,32.06,overcast clouds
226,Manado,ID,1.487,124.8455,83.17,78,40,4.61,scattered clouds
227,Brae,GB,60.3964,-1.353,40.91,67,99,24.43,overcast clouds
228,Gombong,ID,-7.6072,109.5142,83.35,66,80,7.29,broken clouds
229,Ilulissat,GL,69.2167,-51.1,21.22,79,75,3.44,broken clouds
230,Ewa Beach,US,21.3156,-158.0072,73.35,81,1,5.01,clear sky
231,General Pico,AR,-35.6566,-63.7568,57.52,37,24,8.66,few clouds
232,Vilyuysk,RU,63.7553,121.6247,-25.2,88,99,8.21,overcast clouds
233,Jibuti,DJ,11.5,42.5,78.22,56,83,15.7,broken clouds
234,Axim,GH,4.8699,-2.2405,85.64,63,5,4.99,clear sky
235,Ghanzi,BW,-21.5667,21.7833,90.86,29,55,8.46,broken clouds
236,Husavik,IS,66.0449,-17.3389,40.91,85,100,41.52,overcast clouds
237,Sinnamary,GF,5.3833,-52.95,75.34,88,80,5.41,broken clouds
238,Cairns,AU,-16.9167,145.7667,88.11,64,25,5.75,scattered clouds
239,Kokopo,PG,-4.352,152.2633,78.62,84,100,4.85,light rain
240,Lagunas,PE,-5.2269,-75.6753,73.22,80,64,2.3,broken clouds
241,Flic En Flac,MU,-20.2742,57.3631,86.56,70,63,2.01,light rain
242,Kiboga,UG,0.9161,31.7742,88.11,27,87,3.62,overcast clouds
243,Lexington Park,US,38.2668,-76.4538,46.08,77,1,10.36,clear sky
244,Silver City,US,32.7701,-108.2803,44.64,48,1,8.99,clear sky
245,Tasiilaq,GL,65.6145,-37.6368,33.96,84,100,35.14,light rain
246,Puerto Ayora,EC,-0.7393,-90.3518,69.94,89,47,7.25,scattered clouds
247,Port Blair,IN,11.6667,92.75,81.64,69,10,13.24,clear sky
248,Luba,GQ,3.4568,8.5547,83.28,73,4,4.21,light rain
249,Nuuk,GL,64.1835,-51.7216,23.61,74,75,11.5,broken clouds
250,Gat,IL,31.61,34.7642,67.78,34,0,2.15,clear sky
251,Isangel,VU,-19.55,169.2667,82.51,83,75,4.61,broken clouds
252,Virginia Beach,US,36.8529,-75.978,47.01,90,75,8.05,broken clouds
253,Ulaangom,MN,49.9811,92.0667,-12.42,97,100,1.28,overcast clouds
254,Porterville,US,36.0652,-119.0168,50.76,93,75,0.0,mist
255,Chifeng,CN,42.2683,118.9636,24.35,43,0,3.65,clear sky
256,Vila,PT,42.0304,-8.1588,39.74,95,68,0.67,broken clouds
257,Sechura,PE,-5.5569,-80.8222,67.82,87,27,7.52,scattered clouds
258,Beyneu,KZ,45.3167,55.2,35.44,67,81,10.8,broken clouds
259,Chimbote,PE,-9.0853,-78.5783,67.24,91,8,5.35,clear sky
260,Gambela,ET,8.25,34.5833,98.47,25,97,3.36,overcast clouds
261,Kruisfontein,ZA,-34.0033,24.7314,69.89,55,97,16.78,overcast clouds
262,Carnarvon,AU,-24.8667,113.6333,84.27,70,37,32.21,light rain
263,Waingapu,ID,-9.6567,120.2641,79.59,82,99,5.14,overcast clouds
264,Ongole,IN,15.5,80.05,81.0,52,19,10.42,few clouds
265,Presidente Epitacio,BR,-21.7633,-52.1156,74.97,83,93,2.46,overcast clouds
266,Nishihara,JP,26.1842,127.7558,67.28,68,90,8.05,overcast clouds
267,Kipushi,CD,-11.7667,27.2333,74.5,65,100,2.68,overcast clouds
268,Moose Factory,CA,51.2585,-80.6094,-0.4,84,90,9.22,light snow
269,Christchurch,NZ,-43.5333,172.6333,55.99,68,90,4.0,overcast clouds
270,Severomuysk,RU,56.1481,113.4267,0.52,87,100,4.56,overcast clouds
271,Namatanai,PG,-3.6667,152.4333,78.1,88,100,7.34,moderate rain
272,Nelson Bay,AU,-32.7167,152.15,76.08,83,30,1.99,scattered clouds
