City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
430,Tabatinga,BR,75.29,scattered clouds,-4.2525,-69.9381,
432,Roebourne,AU,85.84,clear sky,-20.7833,117.1333,
437,Ouegoa,NC,81.34,overcast clouds,-20.35,164.4333,
442,Soyo,AO,84.02,overcast clouds,-6.1349,12.3689,
446,Saint-Joseph,RE,84.56,light rain,-21.3667,55.6167,
447,Manokwari,ID,80.58,scattered clouds,-0.8667,134.0833,
459,Ati,TD,86.04,broken clouds,13.2154,18.3353,
461,Souillac,MU,86.38,light rain,-20.5167,57.5167,
468,Mahenge,TZ,79.83,overcast clouds,-8.6833,36.7167,
469,Honiara,SB,79.72,overcast clouds,-9.4333,159.95,
481,Cayenne,GF,75.24,broken clouds,4.9333,-52.3333,
482,Yeppoon,AU,82.18,clear sky,-23.1333,150.7333,
492,Zhuhai,CN,75.85,few clouds,22.2769,113.5678,
493,Amahai,ID,81.0,broken clouds,-3.3333,128.9167,
494,Matara,LK,82.49,overcast clouds,5.9485,80.5353,
496,Mopipi,BW,89.26,overcast clouds,-21.1833,24.8833,
503,San Policarpo,PH,78.75,broken clouds,12.1791,125.5072,
509,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,
513,Broken Hill,AU,82.11,clear sky,-31.95,141.4333,
514,Kanniyakumari,IN,84.56,scattered clouds,8.0833,77.5667,
516,Banyo,CM,83.07,scattered clouds,6.75,11.8167,
520,Padang,ID,87.85,light rain,-0.9492,100.3543,
522,Luwuk,ID,80.47,broken clouds,-0.9516,122.7875,
527,Kinablangan,PH,78.82,broken clouds,7.6947,126.5503,
529,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,
536,Banna,PH,81.55,overcast clouds,17.98,120.655,
546,Biak,ID,79.54,broken clouds,-0.9131,122.8766,
555,Makasar,ID,84.25,scattered clouds,-5.14,119.4221,
562,Puerto Escondido,MX,75.11,clear sky,15.85,-97.0667,
567,Bengkulu,ID,82.8,light rain,-3.8004,102.2655,
570,Port Moresby,PG,80.02,broken clouds,-9.4431,147.1797,
571,Mitzic,GA,85.32,broken clouds,0.7821,11.549,
588,Petauke,ZM,75.24,overcast clouds,-14.2426,31.3253,
590,Saurimo,AO,77.32,light rain,-9.6608,20.3916,
591,Teseney,ER,85.5,clear sky,15.11,36.6575,
595,Vaitape,PF,81.34,scattered clouds,-16.5167,-151.75,
596,Vila Velha,BR,78.94,clear sky,-20.3297,-40.2925,
602,Itigi,TZ,89.91,broken clouds,-5.7,34.4833,
615,Clarence Town,AU,76.33,scattered clouds,-32.5833,151.7833,
617,Benguela,AO,80.87,overcast clouds,-12.5763,13.4055,
619,Port-Gentil,GA,84.16,broken clouds,-0.7193,8.7815,
625,Bandarbeyla,SO,80.22,overcast clouds,9.4942,50.8122,
632,Bundaberg,AU,81.21,scattered clouds,-24.85,152.35,
635,Madaoua,NE,79.54,broken clouds,14.073,5.96,
636,Japura,ID,81.7,scattered clouds,-0.3167,102.35,
638,Saint-Leu,RE,85.03,moderate rain,-21.15,55.2833,
641,Banjar,ID,84.06,scattered clouds,-8.19,114.9675,
659,Ambon,ID,84.34,scattered clouds,-3.6954,128.1814,
661,Bac Lieu,VN,81.03,broken clouds,9.285,105.7244,
665,Ugoofaaru,MV,81.88,overcast clouds,5.6667,73.0,
668,Filingue,NE,78.58,broken clouds,14.3521,3.3168,
674,Sai Buri,TH,82.96,scattered clouds,6.7013,101.6168,
677,Bonthe,SL,82.06,broken clouds,7.5264,-12.505,
678,Malaba,KE,89.73,overcast clouds,0.6346,34.2756,
679,Mmabatho,ZA,80.56,clear sky,-25.85,25.6333,
